Peak Type	Time (s)	Amplitude (µV)
R	0.33	632
R	1.18	729
R	1.98	749
R	2.76	768
R	3.55	628
R	4.35	628
R	5.14	722
R	5.93	643
R	6.74	736
R	7.55	696
R	8.35	762
R	9.15	694
R	9.96	727
R	10.77	646
R	11.58	641
R	12.35	811
R	13.13	769
R	13.9	806
R	14.65	917
R	15.42	925
R	16.23	923
R	17.07	877
R	17.88	928
R	18.69	958
R	19.49	880
R	20.27	752
R	21.03	719
R	21.78	887
R	22.53	828
R	23.28	769
R	24.05	772
R	24.83	889
R	25.63	868
R	26.45	816
R	27.26	880
R	28.07	852
R	28.88	785
R	29.68	791
R	30.47	826
R	31.25	799
R	32.04	885
R	32.84	724
R	33.63	733
R	34.4	795
R	35.17	936
R	35.93	853
R	36.71	786
R	37.49	813
R	38.25	773
R	38.97	767
R	39.68	774
R	40.4	719
R	41.12	736
R	41.84	785
R	42.56	845
R	43.29	659
R	44.02	767
R	44.73	811
R	45.46	735
R	46.21	828
R	47.0	706
R	47.8	727
R	48.59	899
R	49.38	802
R	50.19	723
R	50.97	883
R	51.75	816
R	52.53	667
R	53.29	719
R	54.04	828
R	54.79	869
R	55.56	790
R	56.33	798
R	57.11	879
R	57.9	799
R	58.71	783
R	59.49	757
R	60.29	830
R	61.08	726
R	61.88	719
R	62.68	846
R	63.49	848
R	64.31	805
R	65.13	885
R	65.93	873
R	66.73	744
R	67.53	687
R	68.3	843
R	69.08	855
R	69.88	884
R	70.71	722
R	71.53	848
R	72.33	814
R	73.16	797
R	73.98	741
R	74.79	855
R	75.6	884
R	76.4	813
R	77.2	731
R	77.99	842
R	78.79	839
R	79.6	853
R	80.4	769
R	81.19	846
R	81.98	860
R	82.78	796
R	83.58	714
R	84.38	863
R	85.19	878
R	86.0	792
R	86.81	779
R	87.61	766
R	88.41	740
R	89.22	797
R	90.05	794
R	90.89	763
R	91.71	856
R	92.52	924
R	93.34	820
R	94.16	685
R	94.96	767
R	95.75	911
R	96.54	911
R	97.34	854
R	98.14	879
R	98.92	867
R	99.7	845
R	100.47	746
R	101.22	766
R	101.96	810
R	102.7	874
R	103.44	806
R	104.19	654
R	104.92	829
R	105.66	812
R	106.42	822
R	107.19	743
R	107.95	853
R	108.71	853
R	109.47	756
R	110.24	682
R	110.98	782
R	111.72	880
R	112.46	854
R	113.2	733
R	113.93	818
R	114.68	850
R	115.44	835
R	116.2	698
R	116.94	846
R	117.68	839
R	118.42	850
R	119.16	696
R	119.9	782
R	120.64	830
R	121.38	786
R	122.12	760
R	122.85	786
R	123.58	806
R	124.3	764
R	125.03	768
R	125.74	730
R	126.46	807
R	127.2	807
R	127.95	740
R	128.69	783
R	129.44	751
R	130.19	745
R	130.93	690
R	131.65	791
R	132.36	822
R	133.09	790
R	133.82	728
R	134.55	837
R	135.29	800
R	136.02	792
R	136.76	661
R	137.47	895
R	138.18	898
R	138.91	789
R	139.66	702
R	140.42	664
R	141.15	823
R	141.89	850
R	142.63	828
R	143.37	678
R	144.1	851
R	144.83	846
R	145.57	762
R	146.3	662
R	147.04	783
R	147.82	788
R	148.62	699
R	149.43	767
R	150.25	913
R	151.09	756
R	151.94	741
R	152.76	773
R	153.59	826
R	154.44	778
R	155.29	731
R	156.11	829
R	156.93	839
R	157.77	839
R	158.61	657
R	159.42	808
R	160.22	801
R	161.04	780
R	161.85	647
R	162.66	740
R	163.44	853
R	164.25	833
R	165.07	774
R	165.88	740
R	166.68	726
R	167.49	758
R	168.31	679
R	169.09	848
R	169.88	862
R	170.68	778
R	171.49	678
R	172.29	915
R	173.09	733
R	173.88	658
R	174.65	783
R	175.42	767
R	176.21	775
R	177.0	791
R	177.78	863
R	178.59	812
R	179.4	709
R	180.2	738
R	180.98	855
R	181.77	851
R	182.58	779
R	183.4	631
R	184.21	747
R	185.02	827
R	185.83	781
R	186.62	794
R	187.41	854
R	188.21	710
R	189.03	677
R	189.81	854
R	190.59	738
R	191.4	711
R	192.21	752
R	193.01	806
R	193.79	822
R	194.57	845
R	195.36	635
R	196.13	619
R	196.9	632
R	197.66	828
R	198.44	791
R	199.25	810
R	200.06	663
R	200.87	697
R	201.67	833
R	202.47	789
R	203.27	770
R	204.09	719
R	204.87	865
R	205.65	786
R	206.43	771
R	207.21	602
R	207.98	662
R	208.74	787
R	209.51	844
R	210.29	797
R	211.06	754
R	211.81	736
R	212.57	751
R	213.32	704
R	214.07	671
R	214.81	692
R	215.55	743
R	216.3	675
R	217.05	595
R	217.77	686
R	218.5	808
R	219.24	756
R	219.98	657
R	220.72	791
R	221.47	808
R	222.22	787
R	222.98	650
R	223.72	737
R	224.47	839
R	225.22	710
R	225.96	634
R	226.69	764
R	227.43	833
R	228.17	741
R	228.92	794
R	229.68	754
R	230.45	726
R	231.24	616
R	232.01	702
R	232.77	661
R	233.52	760
R	234.26	675
R	235.0	759
R	235.74	764
R	236.49	738
R	237.24	681
R	237.99	843
R	238.76	730
R	239.55	710
R	240.33	797
R	241.11	774
R	241.91	702
R	242.72	767
R	243.52	753
R	244.29	859
R	245.07	882
R	245.86	762
R	246.65	787
R	247.44	771
R	248.25	724
R	249.06	655
R	249.85	759
R	250.62	764
R	251.41	672
R	252.19	659
R	252.97	847
R	253.75	793
R	254.54	706
R	255.33	705
R	256.09	786
R	256.87	782
R	257.66	775
R	258.43	710
R	259.18	709
R	259.93	780
R	260.65	767
R	261.35	703
R	262.08	549
R	262.83	740
R	263.59	797
R	264.35	782
R	265.09	738
R	265.81	777
R	266.53	755
R	267.26	645
R	267.99	767
R	268.71	765
R	269.45	761
R	270.21	734
R	270.98	773
R	271.76	838
R	272.56	764
R	273.35	726
R	274.12	864
R	274.9	725
R	275.66	694
R	276.41	771
R	277.15	838
R	277.91	693
R	278.68	643
R	279.44	793
R	280.2	811
R	280.98	812
R	281.79	638
R	282.59	767
R	283.41	826
R	284.24	826
R	285.06	773
R	285.85	807
R	286.65	776
R	287.45	733
R	288.28	689
R	289.09	803
R	289.91	718
R	290.76	713
R	291.59	683
R	292.42	748
R	293.26	700
R	294.09	638
R	294.89	760
R	295.71	787
R	296.55	650
R	297.36	747
R	298.17	738
R	298.98	684
R	299.79	738
R	300.6	797
R	301.4	804
R	302.23	753
R	303.06	677
R	303.87	665
R	304.67	741
R	305.49	761
R	306.3	705
R	307.08	551
R	307.87	732
R	308.67	718
R	309.47	635
R	310.26	830
R	311.06	744
R	311.85	675
R	312.62	799
R	313.4	854
R	314.21	817
R	315.02	622
R	315.83	707
R	316.62	687
R	317.42	746
R	318.2	627
R	318.96	806
R	319.72	794
R	320.49	656
R	321.27	732
R	322.04	749
R	322.83	687
R	323.63	725
R	324.42	718
R	325.23	731
R	326.04	790
R	326.85	731
R	327.63	811
R	328.41	687
R	329.2	687
R	329.98	752
R	330.75	800
R	331.52	734
R	332.3	748
R	333.08	572
R	333.85	717
R	334.65	734
R	335.47	761
R	336.28	787
R	337.08	792
R	337.89	792
R	338.7	614
R	339.5	767
R	340.28	788
R	341.07	683
R	341.86	639
R	342.66	698
R	343.45	841
R	344.28	664
R	345.14	659
R	345.96	807
R	346.78	845
R	347.59	748
R	348.38	819
R	349.16	711
R	349.93	539
R	350.69	714
Q	0.31	-104
Q	1.15	-60
Q	1.95	-38
Q	2.74	-104
Q	3.53	-153
Q	4.32	-108
Q	5.11	-93
Q	5.9	-128
Q	6.72	-135
Q	7.53	-96
Q	8.32	-146
Q	9.12	-121
Q	9.93	-151
Q	10.75	-173
Q	11.55	-136
Q	12.33	-108
Q	13.11	-87
Q	13.88	-124
Q	14.63	-231
Q	15.4	-144
Q	16.21	-148
Q	17.04	-139
Q	17.85	-140
Q	18.66	-143
Q	19.46	-164
Q	20.25	-225
Q	21.0	-211
Q	21.75	-179
Q	22.5	-188
Q	23.26	-153
Q	24.02	-163
Q	24.8	-137
Q	25.6	-136
Q	26.42	-134
Q	27.23	-175
Q	28.04	-139
Q	28.85	-163
Q	29.66	-208
Q	30.44	-180
Q	31.23	-107
Q	32.02	-190
Q	32.82	-198
Q	33.61	-163
Q	34.37	-194
Q	35.14	-131
Q	35.91	-98
Q	36.69	-94
Q	37.47	-165
Q	38.22	-229
Q	38.94	-226
Q	39.66	-183
Q	40.38	-172
Q	41.1	-161
Q	41.82	-171
Q	42.54	-92
Q	43.27	-197
Q	44.0	-216
Q	44.71	-186
Q	45.43	-175
Q	46.18	-145
Q	46.98	-144
Q	47.77	-163
Q	48.56	-100
Q	49.36	-107
Q	50.16	-176
Q	50.95	-138
Q	51.73	-145
Q	52.5	-163
Q	53.26	-199
Q	54.01	-154
Q	54.77	-140
Q	55.54	-169
Q	56.3	-189
Q	57.08	-141
Q	57.87	-149
Q	58.68	-117
Q	59.47	-109
Q	60.26	-149
Q	61.06	-176
Q	61.86	-203
Q	62.65	-140
Q	63.46	-126
Q	64.28	-118
Q	65.1	-107
Q	65.9	-130
Q	66.7	-191
Q	67.51	-181
Q	68.28	-149
Q	69.05	-184
Q	69.85	-175
Q	70.68	-140
Q	71.5	-96
Q	72.31	-128
Q	73.13	-173
Q	73.96	-205
Q	74.77	-170
Q	75.57	-124
Q	76.37	-154
Q	77.17	-173
Q	77.97	-137
Q	78.77	-140
Q	79.58	-148
Q	80.38	-141
Q	81.16	-163
Q	81.95	-166
Q	82.75	-167
Q	83.56	-172
Q	84.35	-148
Q	85.16	-106
Q	85.97	-171
Q	86.79	-152
Q	87.58	-156
Q	88.38	-180
Q	89.19	-165
Q	90.03	-156
Q	90.86	-146
Q	91.68	-111
Q	92.5	-124
Q	93.31	-156
Q	94.13	-195
Q	94.93	-171
Q	95.72	-89
Q	96.51	-112
Q	97.32	-138
Q	98.11	-143
Q	98.89	-130
Q	99.67	-180
Q	100.44	-196
Q	101.2	-170
Q	101.93	-154
Q	102.67	-131
Q	103.41	-151
Q	104.16	-181
Q	104.89	-169
Q	105.63	-147
Q	106.39	-166
Q	107.17	-203
Q	107.92	-154
Q	108.68	-128
Q	109.45	-180
Q	110.21	-180
Q	110.96	-164
Q	111.7	-98
Q	112.44	-139
Q	113.18	-214
Q	113.91	-160
Q	114.65	-128
Q	115.42	-148
Q	116.18	-176
Q	116.92	-138
Q	117.65	-140
Q	118.4	-154
Q	119.14	-170
Q	119.87	-116
Q	120.61	-122
Q	121.35	-130
Q	122.1	-137
Q	122.82	-165
Q	123.55	-154
Q	124.28	-159
Q	125.0	-169
Q	125.71	-158
Q	126.43	-154
Q	127.17	-133
Q	127.93	-134
Q	128.66	-144
Q	129.41	-128
Q	130.16	-183
Q	130.9	-139
Q	131.62	-188
Q	132.34	-144
Q	133.06	-148
Q	133.79	-152
Q	134.52	-105
Q	135.26	-146
Q	136.0	-191
Q	136.73	-177
Q	137.45	-103
Q	138.16	-89
Q	138.89	-107
Q	139.64	-147
Q	140.39	-186
Q	141.12	-159
Q	141.86	-121
Q	142.61	-165
Q	143.35	-200
Q	144.07	-136
Q	144.81	-118
Q	145.55	-149
Q	146.28	-172
Q	147.02	-165
Q	147.79	-100
Q	148.59	-160
Q	149.4	-109
Q	150.22	-47
Q	151.06	-121
Q	151.91	-144
Q	152.73	-106
Q	153.57	-105
Q	154.42	-184
Q	155.26	-153
Q	156.08	-146
Q	156.9	-149
Q	157.74	-145
Q	158.59	-162
Q	159.4	-128
Q	160.2	-114
Q	161.01	-117
Q	161.83	-140
Q	162.63	-157
Q	163.42	-153
Q	164.23	-153
Q	165.04	-148
Q	165.85	-121
Q	166.66	-131
Q	167.47	-177
Q	168.28	-155
Q	169.06	-137
Q	169.86	-123
Q	170.66	-198
Q	171.46	-161
Q	172.26	-132
Q	173.06	-144
Q	173.85	-153
Q	174.62	-158
Q	175.4	-129
Q	176.19	-156
Q	176.97	-169
Q	177.76	-146
Q	178.56	-143
Q	179.37	-143
Q	180.17	-145
Q	180.95	-96
Q	181.75	-128
Q	182.56	-171
Q	183.38	-180
Q	184.18	-163
Q	185.0	-145
Q	185.81	-180
Q	186.59	-153
Q	187.39	-138
Q	188.19	-137
Q	189.0	-145
Q	189.78	-153
Q	190.57	-158
Q	191.37	-146
Q	192.18	-165
Q	192.99	-135
Q	193.76	-140
Q	194.55	-119
Q	195.33	-115
Q	196.11	-173
Q	196.87	-201
Q	197.64	-138
Q	198.42	-143
Q	199.22	-126
Q	200.04	-160
Q	200.85	-180
Q	201.64	-129
Q	202.44	-134
Q	203.25	-162
Q	204.06	-144
Q	204.85	-120
Q	205.63	-132
Q	206.4	-164
Q	207.18	-186
Q	207.95	-192
Q	208.71	-148
Q	209.49	-124
Q	210.26	-131
Q	211.03	-121
Q	211.78	-116
Q	212.54	-116
Q	213.29	-178
Q	214.04	-154
Q	214.78	-176
Q	215.53	-163
Q	216.27	-141
Q	217.02	-152
Q	217.75	-165
Q	218.47	-111
Q	219.21	-136
Q	219.96	-161
Q	220.69	-140
Q	221.44	-68
Q	222.2	-137
Q	222.95	-168
Q	223.69	-141
Q	224.45	-174
Q	225.2	-194
Q	225.94	-187
Q	226.67	-98
Q	227.4	-108
Q	228.15	-103
Q	228.89	-118
Q	229.65	-134
Q	230.43	-150
Q	231.22	-173
Q	231.99	-165
Q	232.75	-149
Q	233.49	-138
Q	234.23	-142
Q	234.97	-165
Q	235.71	-163
Q	236.46	-149
Q	237.22	-141
Q	237.96	-139
Q	238.74	-108
Q	239.52	-128
Q	240.3	-158
Q	241.08	-160
Q	241.88	-176
Q	242.68	-121
Q	243.49	-152
Q	244.26	-104
Q	245.05	-78
Q	245.83	-141
Q	246.62	-156
Q	247.41	-126
Q	248.23	-169
Q	249.04	-168
Q	249.82	-179
Q	250.6	-147
Q	251.38	-156
Q	252.17	-169
Q	252.94	-126
Q	253.73	-111
Q	254.52	-204
Q	255.3	-163
Q	256.07	-120
Q	256.85	-135
Q	257.63	-129
Q	258.4	-171
Q	259.15	-170
Q	259.9	-151
Q	260.63	-148
Q	261.33	-177
Q	262.06	-143
Q	262.8	-122
Q	263.57	-146
Q	264.33	-148
Q	265.07	-139
Q	265.78	-129
Q	266.5	-149
Q	267.23	-171
Q	267.96	-146
Q	268.68	-158
Q	269.42	-136
Q	270.18	-150
Q	270.95	-136
Q	271.73	-125
Q	272.53	-156
Q	273.33	-185
Q	274.1	-138
Q	274.87	-147
Q	275.64	-176
Q	276.38	-169
Q	277.13	-162
Q	277.89	-138
Q	278.66	-152
Q	279.42	-142
Q	280.17	-107
Q	280.96	-142
Q	281.76	-168
Q	282.56	-157
Q	283.37	-139
Q	284.22	-159
Q	285.04	-134
Q	285.83	-133
Q	286.62	-148
Q	287.43	-153
Q	288.25	-146
Q	289.06	-117
Q	289.89	-156
Q	290.73	-139
Q	291.57	-141
Q	292.4	-151
Q	293.23	-190
Q	294.06	-198
Q	294.87	-129
Q	295.69	-133
Q	296.52	-171
Q	297.33	-137
Q	298.14	-115
Q	298.95	-167
Q	299.77	-160
Q	300.57	-166
Q	301.38	-122
Q	302.2	-79
Q	303.03	-130
Q	303.84	-192
Q	304.65	-166
Q	305.46	-137
Q	306.28	-134
Q	307.06	-145
Q	307.85	-166
Q	308.64	-162
Q	309.45	-132
Q	310.24	-98
Q	311.03	-141
Q	311.82	-208
Q	312.6	-154
Q	313.38	-108
Q	314.18	-113
Q	315.0	-148
Q	315.8	-144
Q	316.6	-140
Q	317.4	-133
Q	318.17	-157
Q	318.93	-150
Q	319.69	-136
Q	320.47	-171
Q	321.24	-162
Q	322.01	-158
Q	322.8	-128
Q	323.6	-127
Q	324.4	-125
Q	325.2	-198
Q	326.02	-158
Q	326.83	-127
Q	327.6	-127
Q	328.39	-139
Q	329.17	-143
Q	329.96	-137
Q	330.72	-114
Q	331.49	-113
Q	332.27	-146
Q	333.05	-182
Q	333.83	-160
Q	334.63	-149
Q	335.45	-164
Q	336.25	-173
Q	337.06	-154
Q	337.86	-139
Q	338.68	-144
